,trade_date,market,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
82,2021-04-30T00:00:00.000,JKM,18.599511431762355,24.969170201799233,25.405854383240612,25.33846484906756,25.33846484906756,25.72555033335757,26.6862555325286,27.646960731699625,28.182303191170355,28.237562609192256,26.46926123249137,20.564320690111863,19.36155228419123,19.22353851820482,19.257233285291345,19.650249048588584,20.043264811885823,20.604754410615694,21.512087098721665,22.138809766531047,23.577441542057365,23.577441542057365,21.650909539118153,18.13209762273807,17.071655912990924,16.950085193342737,17.036882913357626,17.384612909690574,17.732342906023522,18.57471208318667,19.51196572446548,20.080463834749345,20.645457689256215,20.645457689256215,18.958562869836378,17.216947748668023
75,2021-04-21T00:00:00.000,JKM,18.597108823463167,23.179005200258437,22.909481883976362,22.97686271304688,22.97686271304688,23.3043335423296,24.351431626085464,25.398529709841323,26.334584187288968,26.437272570792437,24.304804092368663,19.607551736204663,18.460999548740716,18.329202647078784,18.423266284461224,18.79925131067472,19.175236336888215,19.49138718688709,20.35008847256178,20.94277024506606,23.079820619866634,23.079820619866634,21.193965975840957,17.828158802110405,16.785373091415057,16.6659742623021,16.751413153563515,17.093168718609185,17.43492428365486,18.038117465494143,18.94829770457871,19.500281456324398,20.488892980447044,20.488892980447044,18.814614139702798,17.086430635702133
1347,2021-03-25T00:00:00.000,THE,18.584999999999994,18.519999999999992,18.50279999999999,18.459799999999987,18.496100000000002,18.560799999999986,19.025600000000008,19.742200000000015,19.87660000000001,19.9182,19.869700000000005,19.3866,17.403000000000006,16.911799999999985,16.650300000000012,16.568499999999986,16.666900000000002,16.969699999999992,17.430299999999992,18.2396,18.755299999999995,18.794800000000006,18.769600000000015,18.2991,16.415500000000005,15.950899999999994,15.703500000000007,15.612500000000008,15.705500000000015,15.991699999999993,16.3501,17.26729999999999,17.7548,17.81349999999999,17.743800000000007,17.37099999999999
77,2021-04-23T00:00:00.000,JKM,18.55362137338158,22.049231197352018,21.780338133969682,21.807227440307912,21.847561399815266,22.645098225807292,23.662589577646074,24.680080929484856,25.63922248656967,25.7392507061479,23.66312736377284,19.246289904654493,18.12070354133601,17.991365977849103,18.083865191652627,18.452786474613198,18.821976650637154,19.329377861239635,20.180962192971514,20.76876242952531,22.779275864435082,22.779275864435082,20.91799807970251,17.59582428161368,16.566770528049457,16.44872647322461,16.533158895126665,16.870619689671503,17.207811591152957,17.80314083348146,18.701512558241866,19.246289904654493,20.364078369134887,20.364078369134887,18.699899199861573,16.982210310975177
78,2021-04-26T00:00:00.000,JKM,18.527675827287823,22.15265588045283,21.857287135380126,21.857287135380126,21.951268099721442,22.677606695559316,23.696628866060145,24.715651036560978,25.6871456908092,25.787571064133918,23.707369547699155,19.36813416554015,18.235260769665842,18.105298521833856,18.19820541801127,18.56956448567995,18.940923553348632,19.20756097503699,20.053658171149802,20.637951252311808,22.66525491167446,22.66525491167446,20.8132928800686,17.507848105664067,16.48399262842568,16.36638216447855,16.450427998303784,16.786074299522767,17.12172060074175,17.71406919313301,18.607962422539405,19.150098328268303,20.18200931673594,20.18200931673594,18.533046168107326,16.830648128324647
79,2021-04-27T00:00:00.000,JKM,18.523432746430526,23.087177046275727,23.221404819800586,23.087177046275727,23.087177046275727,23.57173930870047,24.630796441811604,25.68985357492274,26.571193135886965,26.674816977048156,24.52341422299172,19.524771936925973,18.38303049532352,18.252024188363258,18.34544671873656,18.71994220687092,19.094437695005276,19.620073656128625,20.484232062081663,21.081008743173182,22.906506463111267,22.906506463111267,21.034565933533585,17.67457630665932,16.641022450517905,16.522365098721927,16.60692859604259,16.945987951966384,17.284778852343127,17.93846810940919,18.843431758513788,19.392423352230463,20.177387371803835,20.177387371803835,18.52880185737152,16.82679368907631
2617,2021-02-10T00:00:00.000,TTF,18.480000000000008,17.449999999999992,17.199880000000004,17.238290000000003,17.201169999999998,17.253080000000004,17.465939999999993,17.959549999999997,18.607579999999988,18.980860000000003,19.275849999999995,19.229210000000005,18.763899999999996,16.86041,16.375209999999992,16.116870000000002,15.988499999999991,16.085399999999996,16.38364000000001,16.717280000000002,17.592519999999993,18.208019999999994,18.275950000000005,18.23172,17.790560000000013,15.835460000000008,15.37975999999999,15.137119999999992,14.998499999999993,15.089400000000008,15.369169999999999,15.656000000000004,16.628319999999988,17.160459999999997,17.215100000000003,17.18608
80,2021-04-28T00:00:00.000,JKM,18.474901824822606,23.02668923093832,23.361379481388003,23.294441431298065,23.361379481388003,23.766220808331944,24.83401658336662,25.901812358401294,26.75647738194961,26.86090074008991,24.694249934778828,19.661044072416292,18.511048371871173,18.379046537093817,18.473295311620447,18.85055816192733,19.227553260033858,19.756899360145077,20.62709401131426,21.227929948921535,22.928156421205934,22.928156421205934,21.054694275288778,17.691458886569986,16.65686438437992,16.537982407420188,16.62285985493423,16.96210189279003,17.30134393064583,17.955462556124697,18.86153600214208,19.410963517280283,20.27767738984479,20.27767738984479,18.62055902181831,16.910157965920238
81,2021-04-29T00:00:00.000,JKM,18.456957475248718,23.68642875990252,24.40865753067312,24.34178449634251,24.34178449634251,24.70316637386513,25.81299125161596,26.923083621504105,27.66376934974996,27.771836173228223,25.53185701529007,20.464218473716343,19.267458651335726,19.12996769275199,19.142807315343465,19.533345835834236,19.923884356325004,20.25905200439003,21.151405774497707,21.76770765888862,23.2332970792783,23.2332970792783,21.334905380700903,18.065348986208654,17.008755043784998,16.88758110557793,16.9742485580704,17.32065087590297,17.667053193735537,17.93962768166711,18.844821074366262,19.39371494015192,20.487222797526073,20.487222797526073,18.81325700216221,17.084990302921895
1316,2021-02-10T00:00:00.000,THE,18.454999999999995,17.89999999999999,17.599879999999988,17.638289999999994,17.618769999999998,17.688390000000012,17.810549999999992,18.36090000000001,18.917570000000005,19.194409999999994,19.38585,19.33920999999999,18.873900000000003,17.16041000000001,16.675209999999996,16.416870000000007,16.2885,16.3854,16.68364000000001,16.912280000000006,17.787519999999986,18.40302000000001,18.470950000000006,18.426719999999992,17.985560000000003,16.075460000000007,15.619759999999989,15.377119999999994,15.238499999999991,15.329400000000007,15.609170000000004,15.87599999999999,16.84832,17.390460000000004,17.435099999999995,17.386079999999996
1341,2021-03-17T00:00:00.000,THE,18.445,18.339999999999993,18.38283000000001,18.31106,18.383159999999986,18.539750000000016,19.025570000000005,19.84184,19.956849999999996,19.988800000000005,19.94020999999999,19.45551999999999,17.63126,17.13323000000001,16.86806000000001,16.773849999999996,16.873539999999995,17.180360000000004,17.629919999999984,18.44808999999999,18.989699999999985,19.009329999999988,18.96366,18.508169999999996,16.39576,15.930839999999993,15.68329,15.572630000000002,15.665549999999998,15.95155,16.409389999999988,17.32749999999999,17.82529,17.88378999999999,17.824029999999997,17.440479999999994
1337,2021-03-11T00:00:00.000,THE,18.445,18.37,18.41782999999999,18.375639999999986,18.411839999999994,18.64265,18.931649999999994,19.90754,20.06197999999999,20.064499999999995,20.01574,19.52935000000001,17.672630000000012,17.172980000000003,16.90695,16.803400000000007,16.903360000000006,17.21100999999999,17.62707,18.445620000000005,18.98751,18.991750000000014,18.946109999999987,18.490799999999997,16.490810000000007,16.022870000000008,15.77372000000001,15.659150000000007,15.752659999999995,16.04046,16.52974,17.45344999999999,17.943980000000007,17.99959999999999,17.939680000000003,17.55388
2647,2021-03-24T00:00:00.000,TTF,18.42000000000001,18.240000000000006,18.332999999999984,18.296499999999998,18.314900000000005,18.502900000000004,18.807400000000015,19.74480000000001,20.0447,20.270699999999998,20.221600000000006,19.732300000000006,17.32420000000001,16.825699999999994,16.560200000000005,16.480999999999998,16.580899999999993,16.88830000000001,17.357099999999996,18.26589999999999,18.9049,18.9123,18.866499999999984,18.410000000000007,16.376100000000005,15.9049,15.653900000000005,15.565299999999993,15.659600000000008,15.949999999999992,16.294899999999988,17.306899999999988,17.8607,17.847899999999992,17.81779999999999,17.399700000000003
1344,2021-03-22T00:00:00.000,THE,18.404999999999987,18.365000000000006,18.33890000000001,18.336400000000015,18.37249999999999,18.547599999999992,19.0714,19.790200000000016,19.9251,19.9713,19.922700000000003,19.4381,17.6619,17.16309999999999,16.897600000000008,16.803600000000003,16.90339999999999,17.21069999999999,17.6336,18.453199999999995,18.975900000000014,19.004500000000004,18.97879999999999,18.50279999999999,16.56689999999999,16.09769999999999,15.847800000000005,15.743600000000011,15.8374,16.12630000000001,16.54610000000001,17.474100000000007,17.956999999999997,18.0202,17.955199999999994,17.572600000000005
1299,2021-01-18T00:00:00.000,THE,18.399999999999988,17.825,16.612799999999996,16.215550000000004,16.059300000000004,15.991859999999988,16.118370000000013,16.390879999999992,16.94769000000001,17.46319,17.71965999999999,17.829130000000003,17.785959999999992,17.35532999999999,15.895840000000005,15.44560000000001,15.205870000000003,14.986150000000006,15.075460000000007,15.350340000000006,15.817229999999997,16.718950000000003,17.134110000000003,17.33505000000001,17.293490000000006,16.878899999999994,15.27463,14.843549999999995,14.61403000000001,14.387650000000006,14.47305999999999,14.735929999999998,15.235749999999998,16.01825000000001,16.568519999999992,16.576109999999986
